"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,3952280,649323,694831,-45123
12,4336885,933048,717472,215576
13,4943444,779198,806184,-22876
14,6976812,2765067,971240,1793827
15,7540695,2005398,1234784,772669
16,8407557,986027,1400429,-410292
17,10948214,2953870,1599581,1355316
18,13761169,5644297,1906470,3737827
19,16001510,7286865,2105986,5180879
20,18598225,7451064,2891572,4559492
21,19218585,7998852,2946574,5052278
22,22796415,10817862,3183123,7634739
23,23632679,11371496,3297184,8074312
24,25321621,12245615,3587273,8658342
25,26309454,13163629,3628854,9534775
26,27872824,14116956,3769331,10347625
27,29267609,14963531,3968411,10995120
28,30103242,15284182,4087932,11196250
29,31708852,16722935,4167485,12555450
30,32545933,17049357,4267058,12782299
31,33593481,18031676,4306085,13725591
32,34189222,17776484,4519050,13257434
33,38642022,20834059,4820797,16013262
34,44278102,25913588,4860513,21053075
35,49227264,29220489,5152993,24067496
36,50495840,29201651,5448510,23753141
37,53350492,31527661,5604350,25923311
38,54912133,32427799,5848210,26579589
39,55457145,32354244,5973131,26381113
40,56697734,33537322,6018759,27518563
41,57285104,32642990,6246233,26396757
42,59623341,34538629,6387177,28151452
43,60723903,34619349,6603683,28015666
44,65251097,37788772,6831196,30957576
45,70872022,43022452,6886204,36136248
46,72335664,44157153,7043000,37114153
47,72999565,44752134,7096164,37655970
48,74499915,46180311,7159976,39020335
49,75279898,46885701,7214667,39671034
50,75915894,47455074,7271775,40183299
51,76700795,46472056,7701747,38770309
52,81662695,51125413,7750889,43374524
53,84618790,52983197,8102019,44881178
54,87168049,54649910,8334282,46315628
55,88973307,55831044,8514169,47316875
56,91066965,57455462,8687187,48768275
57,92340783,58651681,8770815,49880866
58,93507987,59748260,8840287,50907973
59,94358304,60527702,8922623,51605079
60,95134932,61229821,9005387,52224434
61,95956826,61976122,9076734,52899388
62,96751355,61560139,9296134,52264005
63,99117387,63852274,9372591,54479683
64,99907555,63762322,9673814,54088508
65,103343588,66047084,9898920,56148164
66,105907173,68500825,9956508,58544317
67,107175552,68667362,10156089,58511273
68,109292693,70237643,10371177,59866466
69,110095827,69913161,10663920,59249241
70,114107618,73331666,10770769,62560897
71,118334765,76355159,11162470,65192689
72,121400017,78773443,11324884,67448559
73,123889149,81182458,11388091,69794367
74,124706333,81563946,11489779,70074167
75,126013141,82418006,11664096,70753910
76,126920272,82517665,11903064,70614601
77,128176713,83526411,12024792,71501619
78,129955084,84333240,12331455,72001785
79,131025298,85306568,12392138,72914430
80,133100013,86764473,12616681,74147792
81,133972640,87555720,12682446,74873274
82,135569179,88693842,12827481,75866361
83,136785813,88706881,13241866,75465015
84,141733753,92664480,13439369,79225111
85,147873002,98372312,13507986,84864326
86,149312395,99225337,13707979,85517358
87,150380960,99027133,14144326,84882807
88,152121420,100698766,14197143,86501623
89,154320851,102830008,14283760,88546248
90,155151936,103587623,14355861,89231762
